filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
d5-converted.mp4-00.04.00.521-00.07.04.857_30.jpg,train,flat,mid,flat_mid,1.9232,1.9301,0.004021,0.9559,63.525,0
d5-converted.mp4-00.04.00.521-00.07.04.857_40.jpg,train,flat,mid,flat_mid,2.0534,0.0511,0.000106,0.9654,28.311,0
d5-converted.mp4-00.04.00.521-00.07.04.857_60.jpg,train,flat,mid,flat_mid,2.3974,0.3329,0.000693,0.9263,35.682,0
d5-converted.mp4-00.04.00.521-00.07.04.857_90.jpg,train,flat,mid,flat_mid,1.5459,4.5671,0.009515,0.9479,52.614,0
d6-converted.mp4-00.02.56.484-00.05.09.707_0.jpg,train,flat,mid,flat_mid,0.0582,12.8150,0.026698,0.9448,75.537,0
d6-converted.mp4-00.02.56.484-00.05.09.707_10.jpg,train,flat,mid,flat_mid,7.6000,46.2203,0.096292,0.9423,76.759,0
d6-converted.mp4-00.02.56.484-00.05.09.707_120.jpg,train,flat,mid,flat_mid,0.8853,16.3206,0.034001,0.9405,26.707,0
d6-converted.mp4-00.02.56.484-00.05.09.707_170.jpg,train,flat,mid,flat_mid,2.4978,1.5000,0.003125,0.9372,65.533,0
d6-converted.mp4-00.02.56.484-00.05.09.707_30.jpg,train,flat,mid,flat_mid,2.8274,1.1924,0.002484,0.9291,73.556,0
d6-converted.mp4-00.02.56.484-00.05.09.707_40.jpg,train,flat,mid,flat_mid,2.8527,5.6232,0.011715,0.8737,106.197,0
d6-converted.mp4-00.02.56.484-00.05.09.707_60.jpg,train,flat,mid,flat_mid,0.6995,11.4132,0.023777,0.9625,34.136,0
d6-converted.mp4-00.02.56.484-00.05.09.707_80.jpg,train,flat,mid,flat_mid,0.7715,15.8589,0.033039,0.9515,32.977,0
d6-converted.mp4-00.05.52.629-00.06.11.143_20.jpg,train,flat,mid,flat_mid,2.5311,13.3780,0.027871,0.9572,72.100,0
da1-converted.mp4-00.05.02.554-00.05.35.766_20.jpg,train,flat,mid,flat_mid,0.6666,10.2569,0.021369,0.9727,21.451,0
